Year,Month,Province,ID,Outbreak?,Cases
2019,July,Abra,140100000,0,0
2019,July,Agusan del Norte,160200000,0,0
2019,July,Agusan del Sur,160300000,0,0
2019,July,Aklan,60400000,0,0
2019,July,Albay,50500000,0,0
2019,July,Antique,60600000,0,0
2019,July,Apayao,148100000,0,0
2019,July,Aurora,37700000,0,4
2019,July,Basilan,150700000,0,0
2019,July,Bataan,30800000,0,0
2019,July,Batanes,20900000,0,0
2019,July,Batangas,41000000,0,0
2019,July,Benguet,141100000,0,7
2019,July,Biliran,87800000,0,0
2019,July,Bohol,71200000,0,0
2019,July,Bukidnon,101300000,0,0
2019,July,Bulacan,31400000,0,1499
2019,July,Cagayan,21500000,0,0
2019,July,Camarines Norte,51600000,0,0
2019,July,Camarines Sur,51700000,0,0
2019,July,Camiguin,101800000,0,0
2019,July,Capiz,61900000,0,0
2019,July,Catanduanes,52000000,0,0
2019,July,Cavite,42100000,0,0
2019,July,Cebu,72200000,0,0
2019,July,City of Isabela,99700000,0,0
2019,July,Compostela Valley,118200000,0,0
2019,July,Cotabato,124700000,0,0
2019,July,Cotabato City,129800000,0,0
2019,July,Davao del Norte,112300000,0,0
2019,July,Davao del Sur,112400000,0,0
2019,July,Davao Occidental,118600000,0,0
2019,July,Davao Oriental,112500000,0,0
2019,July,Dinagat Islands,168500000,0,0
2019,July,Eastern Samar,82600000,0,0
2019,July,Guimaras,67900000,0,0
2019,July,Ifugao,142700000,0,0
2019,July,Ilocos Norte,12800000,0,0
2019,July,Ilocos Sur,12900000,0,0
2019,July,Iloilo,63000000,0,0
2019,July,Isabela,23100000,0,0
2019,July,Kalinga,143200000,0,15
2019,July,La Union,13300000,0,0
2019,July,Laguna,43400000,0,0
2019,July,Lanao del Norte,103500000,0,0
2019,July,Lanao del Sur,153600000,0,0
2019,July,Leyte,83700000,0,0
2019,July,Maguindanao,153800000,0,0
2019,July,Marinduque,174000000,0,0
2019,July,Masbate,54100000,0,0
2019,July,Misamis Occidental,104200000,0,0
2019,July,Misamis Oriental,104300000,0,0
2019,July,Mountain Province,144400000,0,0
2019,July,"NCR, City of Manila, First District",133900000,0,0
2019,July,"NCR, Fourth District",137600000,0,0
2019,July,"NCR, Second District",137400000,0,79
2019,July,"NCR, Third District",137500000,0,69
2019,July,Negros Occidental,184500000,0,0
2019,July,Negros Oriental,184600000,0,0
2019,July,Northern Samar,84800000,0,0
2019,July,Nueva Ecija,34900000,0,364
2019,July,Nueva Vizcaya,25000000,0,0
2019,July,Occidental Mindoro,175100000,0,0
2019,July,Oriental Mindoro,175200000,0,0
2019,July,Palawan,175300000,0,0
2019,July,Pampanga,35400000,0,815
2019,July,Pangasinan,15500000,0,174
2019,July,Quezon,45600000,0,0
2019,July,Quirino,25700000,0,0
2019,July,Rizal,45800000,1,581
2019,July,Romblon,175900000,0,0
2019,July,Samar,86000000,0,0
2019,July,Sarangani,128000000,0,0
2019,July,Siquijor,76100000,0,0
2019,July,Sorsogon,56200000,0,0
2019,July,South Cotabato,126300000,0,0
2019,July,Southern Leyte,86400000,0,0
2019,July,Sultan Kudarat,126500000,0,0
2019,July,Sulu,156600000,0,0
2019,July,Surigao del Norte,166700000,0,0
2019,July,Surigao del Sur,166800000,0,0
2019,July,Tarlac,36900000,0,0
2019,July,Tawi-Tawi,157000000,0,0
2019,July,Zambales,37100000,0,0
2019,July,Zamboanga del Norte,97200000,0,0
2019,July,Zamboanga del Sur,97300000,0,0
2019,July,Zamboanga Sibugay,98300000,0,0
